"","taxon","mk.tau","mk.Sen","mk.pval","mk.inter","mk.trend","nyears","mean.proportion","med.proportion"
"47","Pteronarcys",-0.271428571428571,-0.328579269815078,0.0903897509436624,664.491294627547,"none",19,5.34624528756951,3.52941176470588
"48","Pteronarcyidae",0.20952380952381,0,0.135083300608302,0,"none",8,1.14310248171438,0.939484827099506
"49","Pteronarcella",0.0238095238095238,0.005736548038888,0.903815551843177,-7.04316669777704,"none",21,4.2837950966912,4.5045045045045
"50","Psychomyia",0.371428571428571,0,0.00171961890622022,0,"positive",5,0.954447098628568,0.943396226415094
"51","Psychoglypha",0.161904761904762,0.0746262409803955,0.318566347377122,-145.505641961461,"none",21,4.95333369656421,4.71698113207547
"52","Psychodini",0.0857142857142857,0,0.516704826571785,0,"none",6,2.30018728670307,1.98019801980198
"53","Psychodidae",0.342857142857143,0.101988807755518,0.025091145962245,-204.360073785443,"positive",12,9.39926133710316,2.63331138907176
"54","Protoptila",0.561904761904762,0.0950167012729078,0.000173097112220368,-190.359528753273,"positive",11,1.53385482535045,1.8018018018018
"55","Prostoma",0.557142857142857,0.917431192660551,0.00019816850431038,-1841.33444537114,"positive",11,13.151328504797,10.9090909090909
"56","Proclinopyga",0.628571428571429,0.578242437210795,4.5196844797976e-05,-1159.72852183183,"positive",13,7.81915379535316,8.25688073394496
"57","Polycentropus",-0.142857142857143,0,0.29346110816812,0,"none",7,1.23133752516164,1.01010101010101
"58","Polycentropodidae",0.419047619047619,0.0830237318977936,0.00523118103386442,-166.217681401168,"positive",11,1.90904202527053,1.88679245283019
"59","Pleuroceridae",0.633333333333333,0.247931471375905,6.56686259950474e-05,-490.829171145753,"positive",21,7.76862110080567,8.25688073394496
"60","Plecoptera",0.1,0,0.317108781539849,0,"none",3,3.66614643115688,0.99009900990099
"61","Planorbidae",-0.4,-0.515269106875974,0.012198668997238,1053.75047360923,"negative",21,17.9335818866322,16.5137614678899
"62","Piscicolidae",-0.0523809523809524,0,0.616928299469091,0,"none",3,1.54215421542154,0.99009900990099
"63","Pilaria",-0.0857142857142857,0,0.554660573339079,0,"none",8,1.80266362872416,1.26391096979332
"64","Physidae",-0.595238095238095,-0.500154693319482,0.000179585922627282,1012.87200371272,"negative",21,7.33017247453453,6.06060606060606
"65","Philopotamidae",0.233333333333333,0.0102714115741789,0.129232628652238,-19.7672605897313,"none",12,1.60636436102463,1.82652210175146
"66","Perlinodes.aureus",-0.080952380952381,0,0.477051647018946,0,"none",4,0.954595459545955,0.94959495949595
"67","Perlidae",-0.128571428571429,-0.0485411778144072,0.432173260716287,99.8639285748103,"none",19,3.00416800095384,2.72727272727273
"68","Pericomaini",-0.157142857142857,-0.302951017236732,0.333083842333273,626.166928309786,"none",18,17.1009283571971,17.1314379144336
"69","Peltoperlidae",0.0523809523809524,0,0.616928299469091,0,"none",3,0.940788626871369,0.943396226415094
"70","Peltodytes",0.0238095238095238,0,0.810959700134834,0,"none",2,0.96376610138078,0.96376610138078
"71","Pediciidae",0.4,0,0.000727268681803442,0,"positive",5,2.0932492597112,1.8018018018018
"72","Pedicia",-0.0142857142857143,0,0.951449794818922,1.02040816326531,"none",16,2.01332774979054,1.76379176379176
"73","Parthina",-0.00952380952380952,0,0.972277175110885,0,"none",8,1.06067697286099,0.91326105087573
"74","Parapsyche",0.2,0.25586837308332,0.215688695591323,-481.39966868009,"none",21,34.4728590239486,33.6633663366337
"75","Paraperlinae",0.0523809523809524,0,0.703088903433786,0,"none",6,3.87904624163853,2.77873070325901
"76","Paraperla",-0.166666666666667,-0.142494899729549,0.304343355125128,293.598989912338,"none",20,7.42242990744053,7.15196328403876
"77","Paraleptophlebia.Bicornuta.Group",0.328571428571429,0.187436899170361,0.0391600747011081,-375.159940395529,"positive",17,3.03119145569718,3.52941176470588
"78","Palaemonidae",-0.019047619047619,0,0.804353495923134,0,"none",1,0.909090909090909,0.909090909090909
"79","Pacifastacus",0.576190476190476,0.698649589706012,0.000288644188818581,-1394.56344226002,"positive",21,9.99370214139284,11.8181818181818
"80","Oxyethira",0.166666666666667,0,0.218366759721783,0,"none",7,0.980827904091166,0.99009900990099
"81","Ostracoda",-0.276190476190476,-0.255886371453107,0.0849253835949192,522.169972805812,"none",21,6.95805456304201,7.07070707070707
"82","Ormosia",0.0476190476190476,0,0.776236982156528,0.909090909090909,"none",12,1.5363249482243,1.14737378888322
"83","Oreogeton",0.40952380952381,0.0894741473943452,0.0102660035819151,-178.293276886635,"positive",20,1.91172642032757,1.82652210175146
"84","Optioservus",-0.0285714285714286,-0.0146578413778539,0.87987910365772,84.3449443710392,"none",21,55.4393599563152,54.8387096774194
"85","Onocosmoecus",0.333333333333333,0.135237487056887,0.0370248309461904,-269.480767867532,"positive",20,3.15765897043966,2.81845448129852
"86","Oligophlebodes",0.0714285714285714,0.0411914916631898,0.672049886181272,-79.3890609532951,"none",20,3.4229409874426,3.74490390215492
"87","Oligochaeta",-0.523809523809524,-0.219494365235209,0.000848748279356373,539.59496620724,"negative",21,97.7754687946141,97.752808988764
"88","Octogomphus",0.29047619047619,0,0.0298446641037324,0,"positive",7,1.76325240593629,1.88679245283019
"89","Nereididae",-0.0666666666666667,0,0.283073893152809,0,"none",1,1.0752688172043,1.0752688172043
"90","Neothremma",-0.461904761904762,-0.101773264212552,0.003283742683907,205.944849677071,"negative",15,1.78941452033069,1.88679245283019
"91","Neophylax",0.180952380952381,0.194828323923999,0.263872009473237,-374.367633880792,"none",21,18.095273529574,17.8217821782178
"92","Neoleptophlebia_Paraleptophlebia",-0.676190476190476,-3.23345651920627,2.06479894891453e-05,6544.60014707527,"negative",21,31.0770734210801,35.6521739130435
"93","Nemouridae",0.0285714285714286,0,0.869486956341607,0,"none",10,1.3846793309009,0.930413709537822
"94","Nemotelus",-0.0523809523809524,0,0.54985972023692,0,"none",2,1.05993340732519,1.05993340732519
"95","Nematomorpha",-0.019047619047619,0,0.804353495923134,0,"none",1,0.909090909090909,0.909090909090909
"96","Nematocera",0.0761904761904762,0,0.215499509069327,0,"none",1,0.917431192660551,0.917431192660551
"97","Nemata",0.295238095238095,0.621945530770752,0.0654733584595351,-1184.7036261688,"none",21,69.1333595527255,67.2727272727273
"98","Neaviperla_Suwallia",0.0380952380952381,0.0326565980235705,0.832441373041794,-51.8763456828335,"none",21,13.0318108407139,13.8613861386139
"99","Narpus",0.323809523809524,0.533092236373445,0.043053172753608,-1012.53774874282,"positive",21,58.8477121064151,60.5769230769231
"100","Mystacides",0.128571428571429,0,0.193415269191252,0,"none",3,0.982646788675622,1.01010101010101
"101","Muscidae",-0.2,0,0.0687170386965751,0,"none",4,1.57422964115911,1.5703183221548
"102","Molophilus",0.219047619047619,0.0630895296193067,0.170507158253281,-125.946591544717,"none",16,2.00473546401439,2.000200020002
"103","Micrasema",0.138095238095238,0.12912893227757,0.397608769731098,-236.778645937907,"none",21,22.7765706008585,23.1578947368421
"104","Meringodixa",0.185714285714286,0.0734798250467248,0.250388546278449,-144.884584788754,"none",18,3.58515306191936,3.6358754027927
"105","Megarcys",0.080952380952381,0,0.600145579363235,0,"none",10,1.72291960575203,1.0984393757503
"106","Matriella.teresa",0.266666666666667,0,0.0359164541234302,0,"positive",6,1.06439125047399,0.91326105087573
"107","Maruina",0.333333333333333,0.183930552920578,0.0371976937291238,-367.28190599942,"positive",20,4.46102166718474,3.22427894963409
"108","Margaritiferidae",-0.323809523809524,-0.0688802852865915,0.0345323893648858,139.676422445174,"negative",12,2.15024206056349,2.06273258904838
"109","Malenka",0.676190476190476,1.43083262014023,2.06479894891453e-05,-2825.72060979683,"positive",21,53.778431703414,54.5454545454545
"110","Lymnaeidae",-0.204761904761905,-0.0815503262442378,0.204494795690582,167.690218494357,"none",20,3.48602100159385,3.56650768415474
"111","Lipsothrix",0.0476190476190476,0,0.457390543168855,0,"none",1,0.943396226415094,0.943396226415094
"112","Limoniidae",0.133333333333333,0,0.271671584616415,0,"none",5,1.08006113510701,0.909090909090909
"113","Limnichidae",-0.0952380952380952,0,0.116677449158471,0,"none",1,1.17647058823529,1.17647058823529
"114","Limnephiloidea",0.219047619047619,0,0.0242113081677396,0,"positive",3,0.951756849528802,0.917431192660551
"115","Limnephilidae",0.3,0.180094665418113,0.0608236553270917,-354.273680752716,"none",21,8.3713675384575,8.25688073394496
"116","Leuctridae",-0.147619047619048,-0.126446275868673,0.364765987735366,272.183412147168,"none",21,18.4768811714526,17.6470588235294
"117","Leptophlebiidae",0.761904761904762,2.93030813755335,7.3812902707538e-07,-5893.25573544034,"positive",13,30.0718417401078,37.6146788990826
"118","Leptoceridae",0,0,1,0,"none",5,1.48781109124406,0.917431192660551
"119","Lepidostoma",0.719047619047619,1.19225119713334,5.85372662314731e-06,-2368.18347801123,"positive",21,31.8127077118152,31.8181818181818
"120","Lepidoptera",0.214285714285714,0.00447652621565666,0.158084650532154,-8.02114826221586,"none",11,2.92087889379993,2.75229357798165
"121","Lara",0.385714285714286,0.762058945860556,0.0156552121793112,-1492.74025434758,"positive",21,37.601777121956,41.2844036697248
"122","Labiobaetis",0.138095238095238,0.0252876850479036,0.391637010807725,-49.7276394131946,"none",15,2.10911598528337,1.88679245283019
"123","Kathroperla",-0.261904761904762,-0.138531494238177,0.102810636496736,282.533622672092,"none",20,4.22840663760616,3.81506040512308
"124","Isoperla",0.552380952380952,0.834252815102216,0.000515354543994406,-1667.58621091841,"positive",21,11.8950081579851,11.7647058823529
"125","Ironodes",0.40952380952381,0.555312199942529,0.0102660035819151,-1098.7525493934,"positive",21,19.636579403165,19.0909090909091
"126","Hydroptila",-0.228571428571429,-0.220328549319193,0.155824587862033,456.248642506808,"none",21,12.4942390075941,12.7272727272727
"127","Hydropsychidae",0.00476190476190476,0,1,1.02040816326531,"none",15,2.72947935256953,1.8348623853211
"128","Hydropsyche",0.457142857142857,0.592528405956066,0.00412152626514253,-1121.47255247669,"positive",21,70.2180239840924,71.2871287128713
"129","Hydrophilidae",-0.223809523809524,-0.0835520437793165,0.164108289696453,170.543205304235,"none",18,3.26212825235059,2.77873070325901
"130","Hydrochus",-0.080952380952381,0,0.338692165878931,0,"none",2,1.99019901990199,1.99019901990199
"131","Hydrobiidae",0.671428571428571,0.542819342295776,2.34213491795582e-05,-1087.24079058685,"positive",19,6.45231492534395,6.06060606060606
"132","Hydraenidae",0.104761904761905,0.0627462039655891,0.525109597804152,-124.287906562529,"none",21,2.87969491783773,2.02020202020202
"133","Hydra",0.0904761904761905,0.020269898089447,0.586584212796704,-38.1006021513541,"none",20,3.36783460448592,2.76644569097399
"134","Hydatophylax",-0.176190476190476,0,0.192476625064062,0,"none",7,1.15411510338318,0.99009900990099
"135","Hyalella",0.361904761904762,0.014649882626423,0.0139532037948107,-29.4902137269894,"positive",10,1.1543497306358,0.966747618158042
"136","Holorusia",0.1,0,0.231719704580291,0,"none",2,2.35849056603774,2.35849056603774
"137","Hirudinida",-0.147619047619048,0,0.133452480258165,0,"none",3,1.71215998004295,1.98019801980198
"138","Hexatoma",-0.0904761904761905,-0.0407115071719631,0.586584212796704,90.0603720452699,"none",21,7.80165524150784,8.10810810810811
"139","Heteroplectron",0.285714285714286,0.05394661689255,0.0688161960105849,-107.677108612043,"none",14,1.86874725977093,1.4708886618999
"140","Heterlimnius.corpulentus",-0.219047619047619,-0.252908789827997,0.174190482700077,559.564109520089,"none",21,49.8071031773806,50.4587155963303
"141","Hesperoperla.pacifica",0.4,0.590727096284009,0.012198668997238,-1151.86091754698,"positive",21,37.9226868550983,37.2727272727273
"142","Hesperoconopa",0.204761904761905,0,0.109410759102602,0,"none",6,1.56676843892174,1.4276352742932
"143","Heptageniidae",-0.333333333333333,-0.33302309822819,0.0357637665909779,672.114627168129,"negative",16,4.8933152620839,2.47524752475248
"144","Helobdella",-0.147619047619048,-0.00563051021766619,0.354615850348046,12.2433079772529,"none",14,1.34470146979301,1.000100010001
"145","Haliplus",-0.00476190476190476,0,1,0,"none",3,1.31059508654873,0.917431192660551
"146","Haliplidae",-0.0142857142857143,0,0.904804718192754,0,"none",2,1.0093325218097,1.0093325218097
"147","Gyrinidae",0.00952380952380952,0,0.934191641443611,0,"none",1,0.909090909090909,0.909090909090909
"148","Gumaga",-0.0857142857142857,0,0.160399622796926,0,"none",1,1.35135135135135,1.35135135135135
"149","Gonomyia",-0.0285714285714286,0,0.802264334276226,0,"none",3,0.942760942760943,0.909090909090909
"150","Gomphidae",0.447619047619048,0.186481215855906,0.00488823643824123,-373.033746341468,"positive",18,3.0444535560907,2.58639910813824
"151","Goeridae",0.0428571428571429,0,0.632382415746871,0,"none",2,0.926243567753002,0.926243567753002
"152","Goeracea",-0.152380952380952,0,0.309550394858118,0,"none",10,1.04976318241313,0.952467343976778
"153","Goera",-0.0952380952380952,0,0.116677449158471,0,"none",1,1.17647058823529,1.17647058823529
"154","Glutops",0.0619047619047619,0.0311898613706182,0.716957212755246,-43.8378225180017,"none",21,18.1847227320889,18.9473684210526
"155","Glossosomatidae",0.414285714285714,0.162894091658258,0.00909514422008731,-325.885604487871,"positive",17,2.92249360134131,2.83018867924528
"156","Glossosoma",0.257142857142857,0.310773884711923,0.109501701196475,-556.668911006183,"none",21,68.98905883193,68.9189189189189
"157","Glossiphoniidae",-0.0761904761904762,0,0.505440181262734,0,"none",4,0.928857308807804,0.935314685314685
"158","Glossiphonia",0.0952380952380952,0,0.439211121286249,0,"none",5,0.944690161602965,0.917431192660551
