"","Subbasin","mean_Overall.Score","SD_overallscore","SE_overallscore","len","RKT_trend","Avg_RKTSlope_Overall.Score","Avg_RKTtau_Overall.Score","Avg_RKTpval_Overall.Score","sites","min","max","med"
"20","Lower Cedar River Subbasin",66.986699453071,24.9731562457685,2.03904966896439,150,"positive",0.325079713648009,0.164677804295943,0.0166846735273116,21,14.9892195148153,100,71.4608325990535
"21","Lower Green River - E Subbasin",47.5359947368868,19.8744947892024,2.93033438931031,46,"positive",1.00421292105854,0.304812834224599,0.0069300259579661,3,19.6503356544576,85.0544921354915,44.5737968381967
"22","Lower Green River - W Subbasin",5.85854544456161,4.5183988852088,0.985995471974925,21,"none",0.131591842503355,0.15,0.415913900995772,2,0.944444444444444,18.0079219366245,4.16020671834625
"23","Lyon Creek Subbasin",30.7643192868062,14.6972884227112,3.20721127179392,21,"positive",1.52729229594735,0.507042253521127,0.0036912786721981,2,7.93054941274756,54.4331645346837,32.1890879158681
"24","May Creek Subbasin",55.21122824722,12.6813842154445,1.65097560073814,59,"none",0.382305941552464,0.138592750533049,0.167407951808588,5,10.3197674418605,78.8072738275237,54.438105066588
"25","McAleer Creek Subbasin",33.4914461887313,7.58979608515262,1.7412186388032,19,"none",0.24099041493383,0.134502923976608,0.441488211013973,1,16.6320703720085,43.4478621313887,35.6887476328761
"26","Middle Green River Subbasin",59.9270125769869,22.007637696362,1.97634420767547,124,"none",0.273614699971293,0.110876451953537,0.10884213197088,9,0.944444444444444,94.9626245847176,64.219101532902
"27","Mill Creek Subbasin",47.6864297559487,12.353423025095,1.92928054603041,41,"none",0.0138368464480905,0.0115606936416185,0.941756658169848,4,0.388888888888889,63.5453839226429,50.0532250027714
"28","Miller Creek Subbasin",19.7551182599658,13.4982035698976,1.96891534895997,47,"positive",0.834247341894253,0.336633663366337,0.00706673942571778,8,1.83823529411765,51.8113615091079,16.0892587145017
"29","Mud Mt Lake Subbasin",60.7680412496094,19.721800416983,3.43312478781451,33,"none",-0.41400289205849,-0.0952380952380952,0.617075077451974,7,24.4090721559942,94.8449612403101,57.7890528304345
"30","Newaukum Creek Subbasin",69.4744880688236,13.3929306994613,1.25990093977986,113,"positive",0.430885797811581,0.210762331838565,0.00403453489155692,9,21.7488328664799,95.999354005168,70.1530356328578
"31","North Creek Subbasin",35.3688480027444,17.064986304666,1.87312559346586,83,"positive",0.991228070175396,0.403651115618661,1.18755960445416e-05,9,2.18911248710011,72.9462575727966,33.4413087552442
"32","Sammamish River Subbasin",31.8377575836536,24.2951797547233,2.12267971090109,131,"positive",0.458450903821364,0.230858468677494,0.000823594605166456,12,0,82.6132459511753,22.4202134954349
"33","Soos Creek Subbasin",60.3980295267013,18.8883054655592,1.66950610997748,128,"none",0.397956277064067,0.122047244094488,0.0748635079660569,11,4.67700258397933,92.1492248062015,63.7996234601552
"34","Swamp Creek Subbasin",37.4622394392273,12.2937824396714,1.73860338590474,50,"none",0.38250948754315,0.190348525469169,0.0974905217986546,6,2.19444444444444,66.9482172714047,39.515611160825
"35","Thornton Creek Subbasin",5.82433837672156,6.96717833406779,1.55790843663393,20,"positive",0.319543753173784,0.373684210526316,0.023068628828586,1,0,30.4423313184923,3.15215121136174
"36","Tibbetts Creek Subbasin",40.2496874473984,18.838476816588,3.18428376682877,35,"none",0.231804423342396,0.0747663551401869,0.611205881932667,4,8.96311858076564,77.6085637029189,40.0827973376213
"37","Tokul Creek Subbasin",86.3786192649234,7.14151714686467,1.20713672037787,35,"none",0.0855943152454657,0.0786516853932584,0.65138472592555,6,68.9589286142854,97.2416020671835,87.9677002583979
"38","Tolt River Subbasin",62.7671842464546,29.1026585406016,7.2756646351504,16,"none",-1.15078072232565,-0.230769230769231,0.440400698139003,5,14.8723698781838,95,69.9558850672051
"39","Upper Cedar River Subbasin",83.945232847661,9.39922692580219,1.71605620345727,30,"none",0.799356033723158,0.321212121212121,0.0517031689941165,5,63.2407877879834,98.9466484268126,84.0478577599951
"40","Vashon-Maury Island Subbasin",53.4383294379274,16.079866363599,1.96446833896453,67,"positive",0.993903263059606,0.213541666666667,0.0285250211556101,6,7.05648926237162,78.9391299155321,56.5248046587056
"41","W Lake Sammamish Subbasin",20.8604782590311,10.0059998233431,1.66766663722385,36,"none",0.204313594062673,0.120689655172414,0.390987695706193,4,2.95322237422101,42.9831089922709,22.1657799594746
"42","W Lake Washington - Seattle N Subbasin",15.6519506732835,4.33798596019919,1.02247309638296,18,"none",0.14768138997745,0.150326797385621,0.40467024441074,1,8.57457711766877,23.0235715257135,15.1812355501156
"43","W Lake Washington - Seattle S Subbasin",19.111484568006,11.1188308233485,1.30136071504441,73,"positive",0.351765159904695,0.208247422680412,0.0232435004220375,6,0.292397660818715,43.5580201072677,18.0374517003864
