"","Site.Code","mean_Overall.Score","SD_overallscore","SE_overallscore","len","MK_trend","Avg_MKSlope_Overall.Score","Avg_MKtau_Overall.Score","Avg_MKpval_Overall.Score","sites","min","max","med"
"11","08CED2433",42.486288125568,9.88004149274046,2.32874811264041,18,"none",-0.119221029425047,-0.0457516339869281,0.820216749509663,1,28.1392686001369,61.3980511013055,43.1135579486793
"12","08CED2711",27.526298099139,12.7382901297396,3.67722761771034,12,"none",0.247517240641298,0.151515151515152,0.537133857176902,1,14.9892195148153,58.6285766856722,26.6748778866912
"13","08CED2898",46.9726763504573,7.013495593213,1.94519369089001,13,"positive",1.26061293210334,0.692307692307692,0.00122295733275707,1,33.9949154692477,59.0415919529787,46.6924198892123
"14","08CED4192",88.8278680318176,7.19018779500304,1.46769093771206,24,"none",0.196876725581437,0.181159420289855,0.224207564959049,1,68.6830025359797,97.015809873521,90.016717009121
"15","08CED4975",79.6773945400274,11.0552289864961,2.95463422855717,14,"none",0.9952659664437,0.274725274725275,0.188887477539538,1,61.2462097446078,96.7050463596291,81.1706060637229
"16","08CED5032",84.927492512833,9.15342543597742,2.22003175933825,17,"none",0.71650368582766,0.264705882352941,0.14937517875499,1,71.1611809962663,98.9466484268126,83.9126061277224
"17","08CED5046",93.6807317684316,9.32322745781636,2.69138394124319,12,"none",0.0239662368415323,0.0303030303030303,0.9453298708327,1,67.2587759297926,100,97.2519119847042
"18","08EAS1536",33.479616829732,12.8964892537171,3.32985920694596,15,"none",0.0633613372651454,0.0285714285714286,0.921158650225025,1,7.49049464747139,52.0098799209606,35.1749100292912
"19","08EAS1964",53.3712079255747,11.2697224857971,2.90982983359143,15,"none",0.3813040067108,0.104761904761905,0.620690717075355,1,32.3884500352569,71.9368273625239,51.2764303599857
"20","08EAS2058",55.3545801381488,11.8145891586458,2.86545876613964,17,"none",0.40107441997607,0.191176470588235,0.303096532467549,1,36.3778564057202,78.8072738275237,53.516337297873
"21","08EAS2191",11.3799272462963,4.21101277006077,0.941611080797556,20,"none",0.202480618250297,0.210526315789474,0.205754101273055,1,2.6469176818014,18.203176088877,10.4803991568067
"22","08EAS2272",14.9179808817169,10.4249812258238,2.39165471850919,19,"positive",1.71590049257628,0.754385964912281,7.52915826578722e-06,1,0,34.6657178171146,11.9795370208467
"23","08EAS2446",35.3491959291216,11.5630416216931,2.80444952703848,17,"positive",1.19815430132021,0.397058823529412,0.0290204024405664,1,10.5115573361127,58.4438853060604,36.4515666731809
"24","08EAS2540",34.1549516435037,11.3784735856924,3.43073887006467,11,"positive",1.89772672294813,0.636363636363636,0.0081234233042735,1,21.280984323554,48.8891580295929,28.5745491178928
"25","08EAS2546",3.01995186419461,4.0260755803623,1.16222791004998,12,"none",-0.042380256196045,-0.0909090909090909,0.726286148878805,1,0,14.0679217423403,1.4718536537422
"26","08EAS2631",57.4060596358767,11.6320468049698,2.53832071290683,21,"none",0.161311421693499,0.0666666666666667,0.694644497461478,1,32.4321711140597,73.1453976939613,60.5665683245963
"27","08EVA3555",41.4900785283514,17.1489538793755,4.5832507113008,14,"none",-0.770254613473293,-0.164835164835165,0.443421402864083,1,8.49393090569561,61.7642047435049,42.3878981825289
"28","08EVA3637",42.6824016836437,15.0520552445584,4.17468899887476,13,"positive",1.48909042854641,0.461538461538462,0.0327356095883208,1,11.6606655718183,64.593376110134,43.4100012914182
"29","08EVA3642",65.9477044755071,10.5322264388938,3.33058243795485,10,"positive",2.18755045878,0.644444444444444,0.012266061386213,1,48.5912995553178,79.3972651075934,67.0199814115772
"30","08EVA3813",63.1228351958899,11.851319819507,2.96282995487675,16,"positive",1.3275736953445,0.516666666666667,0.00602581135746671,1,33.0614177943719,77.797401906499,64.5835481887573
